title,area,price,low_price,high_price,avg,type,storage,halls,good,ok,bad,address,phone_num
小蓝鲸(杂技厅店),江岸区,888-1988,888,1988,1438,品牌餐饮,30,2,1,0,0,武汉市江岸区台北路特1号杂技厅院内(近建设大道),4000-365
小蓝鲸（硚口店）,硚口区,1088,1088,1088,1088,品牌餐饮,42,7,1,0,0,武汉市硚口区硚口区硚口路,
小蓝鲸（汉阳店）,汉阳区,1000-1588,1000,1588,1294,品牌餐饮,20,3,1,0,0,武汉市汉阳区武汉市汉阳区拦江路186号,4000-365
小蓝鲸（八一路店）,武昌区,,0,0,0,品牌餐饮,,,1,0,0,武汉市武昌区八一路71号,4000-365
三五醇欧洲花园酒店,江汉区,1535-2228,1535,2228,1881,品牌餐饮,40,1,1,0,0,武汉市江汉区新华下路245号,4000-365
东鑫大酒店（关山店）,洪山区,928-1888,928,1888,1408,星级酒店,27,2,1,0,0,武汉市洪山区洪山区珞瑜东路197号（巴黎豪庭对面）,4000-365
东鑫大酒店（汉阳店）,汉阳区,1288,1288,1288,1288,星级酒店,32,2,1,0,0,武汉市汉阳区汉阳区汉阳大道681号,4000-365
水云乡,武昌区,,0,0,0,特色场地,10,3,1,0,0,武汉市武昌区武汉市东湖生态旅游风景区东湖听涛景区内,4000-365
东湖国际会议中心,武昌区,3200-4888,3200,4888,4044,特色场地,120,3,1,0,0,武汉市武昌区武昌区东湖路146号,4000-365
鑫宝来大酒店,武昌区,,0,0,0,星级酒店,30,3,1,0,0,武汉市武昌区武昌区雄楚大道87号,4000-365
武汉天禄华美达广场酒店,江汉区,2088,2088,2088,2088,星级酒店,28,2,5,0,0,武汉市江汉区青年路5号,027-87823715
艳阳天酒家幸福殿堂酒店,江岸区,1280-1480,1280,1480,1380,品牌餐饮,100,3,1,0,0,武汉市江岸区解放大道696号国际会展中心5F,027-87823715
雅和睿景,洪山区,1298-1998,1298,1998,1648,特色场地,10,3,2,0,0,武汉市洪山区洪山区东湖风景区鲁磨路特1号,027-87823761
艳阳天酒家旅店宝丰店,硚口区,999-1188,999,1188,1093,品牌餐饮,50,3,3,0,0,武汉市硚口区硚口路185号,027-87823715
