rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
141,穿越时空的少女,8.6,184776, 细田守 Mamoru Hosoda,2006,日本,剧情 爱情 科幻 动画,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
142,恋恋笔记本,8.5,279883, 尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
143,魂断蓝桥,8.8,128717, Mervyn LeRoy,1940,美国,剧情 战争 爱情,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
144,雨中曲,8.9,92684, Stanley Donen / Gene Kelly,1952,美国,喜剧 歌舞 爱情,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
145,傲慢与偏见,8.4,299164, 乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
146,教父3,8.7,128845, 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
147,完美的世界,9.0,79153, 克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
148,纵横四海,8.7,143535, 吴宇森 John Woo,1991,香港,剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
149,萤火之森,8.7,155007, 大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,触不到的恋人。,https://movie.douban.com/subject/5989818/
150,玩具总动员3,8.8,190490, 李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
